S.No,Location,Fatalities,Latitude,Longitude,hosp lat,hosp long,icon loc,icon hosp
1,Karkhana,3,17.461426,78.500069,17.4855,78.4931,alert,plus
2,Tirumalgherry,3,17.45303,78.506377,17.4757,78.5098,alert,plus
3,Lothkunta,5,17.36866,79.056938,17.4018,78.5756,alert,plus
4,Alwal(Hakim bus depot),4,17.547198,78.535278,17.5064,78.495,alert,plus
5,Shamirpet(social welfare degree college),3,17.57137,78.61233,17.573394,78.556974,alert,plus
6,shamirpet(kattamaisama lake bridge),5,17.606541,78.569149,17.573394,78.556974,alert,plus
7,shamirpet(HBL X Road on rajiv rahadari to bawarch hotel rajiv rahadari ),4,17.630635,78.570338,17.573394,78.556974,alert,plus
8,Saidabad(Dhobighat),4,17.35787,78.51737,17.352218,78.505643,alert,plus
9,I S Sadan X Road,3,17.35508,78.50591,17.352218,78.505643,alert,plus
10,Saroornagar(Karmanghat jn),3,17.35472,78.531414,17.354747,78.53242,alert,plus
11,Adibatla(Turkayajmal),5,17.23173,78.5428,17.2721,78.5895,alert,plus
12,Adibatla(Ragannaguda),9,17.248192,78.585897,17.2721,78.5895,alert,plus
13,Ibrahimpatnam(Mangalpally X road),3,17.20573,78.58277,17.1904,78.6472,alert,plus
14,Ibrahimpatnam(Ambedkar statue),4,17.193395,78.646287,17.1904,78.6472,alert,plus
15,Gurunanak Engineering college,4,17.162692,78.660492,17.1904,78.6472,alert,plus
16,Manneguda bus stop,3,17.255229,78.585838,17.2721,78.5895,alert,plus
